a)
x	y
1	1
-1,4	-0,3
-0,44	0,22
-0,4224	-0,0088
-0,317504	-0,175648
-0,17104384	-0,26049408
-0,025795686	-0,266393037
-0,989681725	0,206557215
-0,60412731	0,017377114
-0,466087601	-0,228444317
-0,26284885	-0,360052722
-0,89486046	0,244021089
-0,777702385	-0,172488157
-0,52205855	-0,442171953
-0,219895717	-0,544874104
-0,912041713	0,317949642
-0,635183315	-0,027179857
-0,471867376	-0,274730017
-0,811253049	0,209892007
-0,70050912	-0,164983295
-0,466393614	-0,405590952
-0,192222766	-0,494806569
0,051833326	-0,452942099
0,220570167	-0,323502665
-1,088228067	0,229401066
-0,918813757	-0,260946417
-0,632474497	0,204378567
-0,562432045	-0,097662088
-0,775027182	0,139064835
-0,689989127	0,044374066
-0,724004349	0,082250374
-0,583143455	-0,227091456
-0,766742618	0,190836582
-0,659059023	-0,161661245
-0,436220359	-0,386486155
-0,825511856	0,254594462
-0,669795257	-0,001837785
-0,508309282	-0,269314819
-0,278589126	-0,408002975
-0,048526546	-0,421517912
0,13172699	-0,339764231
-1,052690796	0,235905693
-0,894407282	-0,241787992
-0,642237087	0,196715197
-0,566786265	-0,107391285
-0,387801047	-0,308331883
-0,171396043	-0,38945265
0,025520067	-0,364542431
-1,010208027	0,245816972
-0,866084889	-0,217262312
-0,571319591	-0,511553313
-0,229581564	-0,617308354
0,072441353	-0,560986975
0,279450218	-0,39737356
0,37133159	-0,190223818
0,358301535	0,003962534
-1,143320614	0,098414986
-0,542671754	0,060634005
-0,436684135	-0,170986858
-0,2634852	-0,304623666
-0,078399286	-0,336908066
-0,968640286	0,234763226
-0,830071908	-0,209036062
-0,667971237	0,183614425
-0,58110391	-0,127641532
-0,767558436	0,151056613
-0,643767056	-0,192220349
-0,742493177	0,176888139
-0,703002729	0,029244744
-0,718798908	0,088302102
-0,581608011	-0,220409966
-0,353858102	-0,400154778
-0,858456759	0,260061911
-0,756451901	-0,145735651
-0,697419239	0,15829426
-0,721032304	0,036682296
-0,56265747	-0,260534377
-0,323405926	-0,423069114
-0,076560858	-0,450894897
0,122171707	-0,373304465
0,242172283	-0,234842711
0,27798802	-0,081611547
-1,111195208	0,132644619
-0,555521917	0,046942152
-0,777791233	0,081223139
-0,623610593	-0,249386908
-0,374189288	-0,438978287
-0,850324285	0,275591315
-0,756482983	-0,130680315
-0,697406807	0,152272126
-0,590938024	-0,163235907
-0,763624791	0,165294363
-0,694550084	0,033882255
-0,722179966	0,086447098
-0,711128013	0,065421161
-0,715548795	0,073831536
-0,573349698	-0,230107551
-0,34370275	-0,404221618
-0,099525443	-0,44468953
0,102236475	-0,37777422
0,228809409	-0,246213817
-1,091523764	0,198485527
-0,908952271	-0,285760505
-0,576499524	-0,580758892
-0,76940019	0,332303557
-0,692239924	-0,032921423
-0,72310403	0,113168569
-0,710758388	0,054732572
-0,715696645	0,078106971
-0,575172239	-0,22691736
-0,769931105	0,190766944
-0,692027558	0,023693222
-0,723188977	0,090522711
-0,710724409	0,063790916
-0,715710236	0,074483634
-0,713715905	0,070206546
-0,570506707	-0,232129387
-0,771797317	0,192851755
-0,663706663	-0,162151593
-0,734517335	0,164860637
-0,624177429	-0,16851285
-0,406969706	-0,377740737
-0,837212117	0,251096295
-0,736719727	-0,144051663
-0,705312109	0,157620665
-0,599085469	-0,162333138
-0,760365812	0,164933255
-0,695853675	0,034026698
-0,72165853	0,086389321
-0,711336588	0,065444272
-0,566793516	-0,234796989
-0,773282594	0,193918795
-0,665262289	-0,161934753
-0,440825439	-0,389175328
-0,823669824	0,255670131
-0,728257119	-0,13515863
-0,708697152	0,154063452
-0,716521139	0,038374619
-0,713391544	0,084650152
-0,576037635	-0,221022502
-0,769584946	0,188409001
-0,692166022	0,0246364
-0,723133591	0,09014544
-0,585639706	-0,220742902
-0,356789015	-0,402020488
-0,110351457	-0,448251177
0,095433364	-0,384811477
-1,038173345	0,253924591
-0,584730662	-0,001569836
-0,766107735	0,100627935
-0,622493053	-0,229965864
-0,751002779	0,191986346
-0,699598888	0,023205462
-0,720160445	0,090717815
-0,711935822	0,063712874
-0,715225671	0,07451485
-0,713909732	0,07019406
-0,57064902	-0,232216407
-0,771740392	0,192886563
-0,691303843	0,022845375
-0,534529071	-0,259159052
-0,302578473	-0,410772508
-0,878968611	0,264309003
-0,648412556	-0,005723601
-0,740634978	0,102289441
-0,603798359	-0,218514016
-0,758480656	0,187405607
-0,696607737	0,025037757
-0,721356905	0,089984897
-0,711457238	0,064006041
-0,715417105	0,074397584
-0,573476033	-0,229624678
-0,343991914	-0,403905169
-0,099871787	-0,444564694
-0,960051285	0,277825878
-0,615979486	-0,011130351
-0,753608206	0,10445214
-0,614523092	-0,222059656
-0,378213688	-0,414574575
-0,121612573	-0,466362152
-0,951354971	0,286544861
-0,619458012	-0,014617944
-0,752216795	0,105847178
-0,614023636	-0,220442863
-0,754390546	0,188177145
-0,698243782	0,024729142
-0,540556931	-0,260503365
-0,783777228	0,204201346
-0,677351231	-0,158317868
-0,729059507	0,163327147
-0,708376197	0,034669141
-0,716649521	0,086132344
-0,579106574	-0,221199227
-0,351641305	-0,399754042
-0,859343478	0,259901617
-0,656262609	-0,003960647
-0,497175324	-0,265515135
-0,271647192	-0,400661632
-0,046187213	-0,413161717
0,130162405	-0,33247779
0,231914544	-0,200618159
0,256502317	-0,059703983
0,218823354	0,0572259
-1,087529342	0,07710964
-0,857366156	-0,37640841
-0,501034914	-0,629016854
-0,129179793	-0,678466775
0,173210067	-0,567306666
0,358562317	-0,361869039
-1,143424927	0,244747616
-0,966901991	-0,271361783
-0,613239204	0,208544713
-0,54947968	-0,0868017
-0,382883877	-0,285761164
-0,846846449	0,214304465
-0,66126142	0,014278214
-0,735495432	0,094288714
-0,705801827	0,062284514
-0,561323194	-0,2349845
-0,332611828	-0,403117498
-0,866955269	0,261246999
-0,763384804	-0,148234388
-0,520878696	-0,418012057
-0,791648522	0,267204823
-0,708534806	-0,113583743
-0,493052955	-0,369737567
-0,226825219	-0,478221733
-0,909269912	0,291288693
-0,636292035	-0,016515477
-0,745483186	0,106606191
-0,609209698	-0,217172569
-0,756316121	0,186869028
-0,697473552	0,025252389
-0,540180855	-0,259797605
-0,783927658	0,203919042
-0,677352637	-0,158592591
-0,729058945	0,163437037
-0,619459613	-0,16741143
-0,403824734	-0,375016532
-0,838470107	0,250006613
-0,737239926	-0,145383017
-0,502149137	-0,405387063
-0,799140345	0,262154825
-0,712208592	-0,120418471
-0,493111142	-0,376401475
-0,224203878	-0,483309578
-0,910318449	0,293323831
-0,63587262	-0,017329532
-0,745650952	0,106931813
-0,609467449	-0,216992203
-0,37639838	-0,408701054
-0,122582347	-0,461172153
-0,950967061	0,284468861
-0,619613176	-0,013787544
-0,465390996	-0,258323804
-0,250367635	-0,382482489
-0,037286407	-0,390833746
0,127995829	-0,31194821
0,222056114	-0,185882308
-1,088822446	0,174352923
-0,564471022	0,030258831
-0,441101509	-0,202791697
-0,254120468	-0,330562294
-0,060906638	-0,35287553
-0,975637345	0,241150212
-0,837944467	-0,206980777
-0,664822213	0,182792311
-0,578381806	-0,127006729
-0,388767481	-0,327877837
-0,844493008	0,231151135
-0,73427514	-0,162122341
-0,49320017	-0,416923035
-0,208062915	-0,514141574
-0,916774834	0,30565663
-0,819011526	-0,134410895
-0,67239539	0,153764358
-0,572526239	-0,152097244
-0,770989504	0,160838898
-0,650287582	-0,18615824
-0,739884967	0,174463296
-0,704046013	0,030214682
-0,718381595	0,087914127
-0,712647362	0,064834349
-0,567545735	-0,23578484
-0,772981706	0,194313936
-0,665191671	-0,161514091
-0,733923332	0,164605636
-0,623623987	-0,168469049
-0,40656661	-0,377486072
-0,157996195	-0,449516059
0,059729315	-0,404830683
0,207326553	-0,283779593
-1,082930621	0,213511837
-0,566827752	0,014595265
-0,773268899	0,094161894
-0,625349121	-0,23774452
-0,380167524	-0,430825484
-0,84793299	0,272330194
-0,75336115	-0,132202249
-0,519673574	-0,401818169
-0,234224649	-0,513251239
-0,90631014	0,305300495
-0,637475944	-0,022120198
-0,745009622	0,108848079
-0,609746545	-0,215279309
-0,377295651	-0,407510893
-0,123740337	-0,460626539
-0,950503865	0,284250615
-0,836083184	-0,164171078
-0,569754788	-0,459203293
-0,772098085	0,283681317
-0,700267071	-0,093241433
